inspection_id,Date,year,month,status,geometry,mean_ndvi
13554,2019-09-30,2019,9,Compliant,"POLYGON ((-9172.721796208618 -379169.2130297679, -9094.412287943029 -379169.2130297679, -9094.412287943029 -379099.0317123487, -9172.721796208618 -379099.0317123487, -9172.721796208618 -379169.2130297679))",0.5185744166374207
13555,2019-10-01,2019,10,Compliant,"POLYGON ((-8725.305814553689 -379310.65946600615, -8653.386562360478 -379310.65946600615, -8653.386562360478 -379241.4153019465, -8725.305814553689 -379241.4153019465, -8725.305814553689 -379310.65946600615))",0.3111479878425598
13556,2019-10-01,2019,10,Compliant,"POLYGON ((-8852.211599037037 -379359.09731895896, -8760.66492992644 -379359.09731895896, -8760.66492992644 -379267.473310911, -8852.211599037037 -379267.473310911, -8852.211599037037 -379359.09731895896))",0.44028207659721375
13557,2019-10-01,2019,10,Compliant,"POLYGON ((-8883.9017077602 -379273.18360833847, -8809.077527375888 -379273.18360833847, -8809.077527375888 -379198.32688542333, -8883.9017077602 -379198.32688542333, -8883.9017077602 -379273.18360833847))",0.4255761206150055
13558,2019-10-01,2019,10,Compliant,"POLYGON ((-8985.989410078582 -379350.8885273573, -8919.200150168877 -379350.8885273573, -8919.200150168877 -379272.90586034284, -8985.989410078582 -379272.90586034284, -8985.989410078582 -379350.8885273573))",0.35940706729888916
13559,2019-10-01,2019,10,Compliant,"POLYGON ((-9183.11928097648 -379231.0933190045, -9111.374734258769 -379231.0933190045, -9111.374734258769 -379162.20972912986, -9183.11928097648 -379162.20972912986, -9183.11928097648 -379231.0933190045))",0.3704410493373871
13560,2019-10-01,2019,10,Compliant,"POLYGON ((-8994.397596254401 -379289.6753539621, -8905.958439219028 -379289.6753539621, -8905.958439219028 -379216.54556214187, -8994.397596254401 -379216.54556214187, -8994.397596254401 -379289.6753539621))",0.45117631554603577
13561,2019-10-01,2019,10,Compliant,"POLYGON ((-8950.68165866928 -379253.08227653266, -8860.823959818686 -379253.08227653266, -8860.823959818686 -379163.931398432, -8950.68165866928 -379163.931398432, -8950.68165866928 -379253.08227653266))",0.4632793962955475
13562,2019-10-01,2019,10,Compliant,"POLYGON ((-8971.079023618744 -379130.15958319383, -8901.120346766047 -379130.15958319383, -8901.120346766047 -379062.24593513936, -8971.079023618744 -379062.24593513936, -8971.079023618744 -379130.15958319383))",0.2836209535598755
13563,2019-10-01,2019,10,Compliant,"POLYGON ((-9002.2029976962 -379100.8677757406, -8923.51898096204 -379100.8677757406, -8923.51898096204 -379023.2248845756, -9002.2029976962 -379023.2248845756, -9002.2029976962 -379100.8677757406))",0.23546580970287323
13564,2019-10-01,2019,10,Compliant,"POLYGON ((-8817.3612349623 -378921.46834819345, -8739.545378728119 -378921.46834819345, -8739.545378728119 -378843.6524919593, -8817.3612349623 -378843.6524919593, -8817.3612349623 -378921.46834819345))",0.2200700342655182
13565,2019-10-01,2019,10,Compliant,"POLYGON ((13766.326563308141 -385825.07811769575, 13869.543905979512 -385825.07811769575, 13869.543905979512 -385716.7532674004, 13766.326563308141 -385716.7532674004, 13766.326563308141 -385825.07811769575))",0.532687783241272
13566,2019-10-01,2019,10,Compliant,"POLYGON ((-8890.982538671093 -378719.1211715629, -8814.78742648537 -378719.1211715629, -8814.78742648537 -378645.6796066341, -8890.982538671093 -378645.6796066341, -8890.982538671093 -378719.1211715629))",0.24639137089252472
13567,2019-10-02,2019,10,Compliant,"POLYGON ((-4804.6321018263825 -375504.2544611651, -4727.203830197601 -375504.2544611651, -4727.203830197601 -375417.44604648603, -4804.6321018263825 -375417.44604648603, -4804.6321018263825 -375504.2544611651))",0.390480637550354
13568,2019-10-02,2019,10,Compliant,"POLYGON ((-4835.21010394531 -375481.54947384633, -4757.394247711129 -375481.54947384633, -4757.394247711129 -375403.73361761216, -4835.21010394531 -375403.73361761216, -4835.21010394531 -375481.54947384633))",0.4026082158088684
13569,2019-10-02,2019,10,Non-Compliant,"POLYGON ((-4861.612672378677 -375223.48692231346, -4783.796816144496 -375223.48692231346, -4783.796816144496 -375145.6710660793, -4861.612672378677 -375145.6710660793, -4861.612672378677 -375223.48692231346))",0.3690609633922577
13570,2019-10-02,2019,10,Compliant,"POLYGON ((-4948.854468972893 -375059.83030107274, -4870.329213286748 -375059.83030107274, -4870.329213286748 -374964.4968880485, -4948.854468972893 -374964.4968880485, -4948.854468972893 -375059.83030107274))",0.32363754510879517
